_id,title,publisher,writers,price,page,image,isbn
64bd89f2429d7849d7d36466,Einstein Gibi Düşünmek,PEGASUS YAYINLARI,Daniel Smith,"81,25",224,https://img.kitapyurdu.com/v1/getImage/fn:1990130/wh:true/wi:800,9786053439776
64bd89f5429d7849d7d36467,100 Yılın Olimpiyat Sorularıyla Geometri\nMatematik Olimpiyatlarına Hazırlık,ALTIN NOKTA BASIM YAYIN DAĞITIM,Serhan Küpeli,"150,00",400,https://img.kitapyurdu.com/v1/getImage/fn:122350/wh:true/wi:800,9789756146330
64bd89f8429d7849d7d36468,Genel Beşeri ve Ekonomik Coğrafya,PEGEM AKADEMİ YAYINCILIK,"Prof. Dr. Hayati Doğanay, Ünal Özdemir, İbrahim Fevzi Şahin","149,24",432,https://img.kitapyurdu.com/v1/getImage/fn:168424/wh:true/wi:800,9786053641193
64bd89fb429d7849d7d36469,Nitel Veri Analizi,PEGEM AKADEMİ YAYINCILIK,"A. Michael Huberman, Matthew B. Miles","236,60",60,https://img.kitapyurdu.com/v1/getImage/fn:3103965/wh:true/wi:800,9786053181415
64bd89fe429d7849d7d3646a,Alfa ve Omega\nEvrenin Başlangıcı ve Sonu,METİS YAYINLARI,Charles Seife,"99,13",264,https://img.kitapyurdu.com/v1/getImage/fn:10329908/wh:true/wi:800,9789753427746
64bd8a01429d7849d7d3646b,Li-iyon Piller ve Uygulamaları,NOBEL AKADEMİK YAYINCILIK,Kolektif,"92,95",216,https://img.kitapyurdu.com/v1/getImage/fn:11437565/wh:true/wi:800,9786254068706
64bd8a04429d7849d7d3646c,Matematik ve Oyun,DORUK YAYINLARI,David Wells,"144,00",336,https://img.kitapyurdu.com/v1/getImage/fn:11433130/wh:true/wi:800,9789755538747
64bd8a07429d7849d7d3646d,DNA-Genetik Devrimin Öyküsü\nGenetik Devriminin Öyküsü,SAY YAYINLARI,"James D. Watson, Andrew Berry","160,00",504,https://img.kitapyurdu.com/v1/getImage/fn:11512289/wh:true/wi:800,9786050208795
64bd8a0c429d7849d7d3646e,Makine Bilgisi\nMakine Mühendisliğine Giriş,DORA YAYINLARI,"Fatih C. Babalık, Kadir Çavdar","219,58",451,https://img.kitapyurdu.com/v1/getImage/fn:7706972/wh:true/wi:800,9786052470183
64bd8a10429d7849d7d3646f,Matematik Ansiklopedik Sözlük (Karton Kapak)\nAbrakadabra’dan Zeno Paradokslarına,ALFA YAYINLARI,David Darling,"191,10",660,https://img.kitapyurdu.com/v1/getImage/fn:11535312/wh:true/wi:800,9786254495199
64bd8a14429d7849d7d36470,Veba - Kısa Bir Giriş,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Paul Slack,"67,10",160,https://img.kitapyurdu.com/v1/getImage/fn:11736251/wh:true/wi:800,9786254294648
64bd8a17429d7849d7d36471,Piramitler Gerçeği,İZDÜŞÜM YAYINLARI,David Furlong,"57,00",310,https://img.kitapyurdu.com/v1/getImage/fn:92232/wh:true/wi:800,9789758408498
64bd8a1a429d7849d7d36472,Mikrodenetleyiciler ve PIC Programlama PIC16F628A,ALTAŞ YAYINCILIK,Orhan Altınbaşak,"120,00",325,https://img.kitapyurdu.com/v1/getImage/fn:103064/wh:true/wi:800,9789758834174
64bd8a1d429d7849d7d36473,Soğutma Tekniği ve Isı Pompası Uygulamaları,DORA YAYINLARI,"Prof.Dr. Recep Yamankaradeniz, İlhami Horuz, Ömer Kaynaklı, Salih Coşkun, Nurettin Yamankaradeniz","287,99",689,https://img.kitapyurdu.com/v1/getImage/fn:4764751/wh:true/wi:800,9789752447448
64bd8a1f429d7849d7d36474,Sonsuzluk Yapbozu\nKuantum Alan Kuramı ve Higgs,ALFA YAYINLARI,Frank Close,"108,00",490,https://img.kitapyurdu.com/v1/getImage/fn:963886/wh:true/wi:800,9786051069081
64bd8a22429d7849d7d36475,Analiz II - Süreklilik,NESİN YAYINEVİ,Ali Nesin,"155,52",340,https://img.kitapyurdu.com/v1/getImage/fn:1198166/wh:true/wi:800,9786054883448
64bd8a25429d7849d7d36476,Acayip Şeyler Seti (22 Kitap),UĞURBÖCEĞİ YAYINLARI,Tarık Uslu,"1.056,00",340,https://img.kitapyurdu.com/v1/getImage/fn:11361223/wh:true/wi:800,9780006480242
64bd8a28429d7849d7d36477,Beton Teknolojisi,NOBEL AKADEMİK YAYINCILIK,"D. J. Brooks, A. M. Neville","173,23",464,https://img.kitapyurdu.com/v1/getImage/fn:11572171/wh:true/wi:800,9786254177446
64bd8a2b429d7849d7d36478,Hidrolik Devre Elemanları ve Hidrolik Sistem Hesaplamaları,KUTLU YAYINEVİ,Ahmet İpek,"54,34",56,https://img.kitapyurdu.com/v1/getImage/fn:11688831/wh:true/wi:800,9786256355750
64bd8a2e429d7849d7d36479,Illuminati’den Günümüze Global Elit ve Derin Dünya,ABİS YAYINLARI,Ersan Öztuna,"48,75",176,https://img.kitapyurdu.com/v1/getImage/fn:1184083/wh:true/wi:800,9786056321795
64bd8a31429d7849d7d3647a,Huruf-u Mukattaa,KİTAPYURDU DOĞRUDAN YAYINCILIK (KDY),Yavuz Özmen,"56,95",120,https://img.kitapyurdu.com/v1/getImage/fn:11227642/wh:true/wi:800,9786257902496
