"_id,title,publisher,writers,price,page,image,isbn";
"64bd2ce659faae5ec995c306,Dakikalar İçinde Bilim Kitaplığı - Kutulu Set 5 Kitap,kronik kitap,Kolektif,""186,00"",2080,https://asset.kitapsepeti.com/dakikalar-icinde-bilim-kitapligi-kutulu-set-5-kitap-804132-41-O.jpg,9786256989337";
"64bd2ce959faae5ec995c307,Genombilim - Kısa Bir Giriş,i̇ş bankası kültür yayınları,John Archibald,""46,90"",160,https://asset.kitapsepeti.com/genombilim-kisa-bir-giris-785848-41-O.jpg,9786254293726";
"64bd2cec59faae5ec995c308,""Kadınlar, Erkekler, Cinslikler ve Cinsellikler"",tuti kitap,Sinan Canan,""53,60"",120,https://asset.kitapsepeti.com/kadinlar-erkekler-cinslikler-ve-cinsellikler-748467-40-O.jpg,9786057225917";
"64bd2cef59faae5ec995c309,Normalin Tarihi,i̇rene kitap,Sarah Chaney,""82,80"",336,https://asset.kitapsepeti.com/normalin-tarihi-738441-40-O.jpg,9786057158062";
"64bd2cf259faae5ec995c30a,Dakikalar İçinde Gelecek,kronik kitap,Keith Mansfield,""37,20"",416,https://asset.kitapsepeti.com/dakikalar-icinde-gelecek-734046-40-O.jpg,9786256989122";
"64bd2cf559faae5ec995c30b,Mühendislik Mekaniği - Dinamik,literatür yayıncılık,R. C. Hibbeler,""404,25"",780,https://asset.kitapsepeti.com/muhendislik-mekanigi-dinamik-400568-724394-40-O.jpg,9789750408090";
"64bd2cf859faae5ec995c30c,Dakikalar İçinde Astronomi,kronik kitap,Giles Sparrow,""37,20"",416,https://asset.kitapsepeti.com/dakikalar-icinde-astronomi-718780-39-O.jpg,9786256989047";
"64bd2cfb59faae5ec995c30d,National Geographic Kozmos Yıldızlara Uzanan Merdiven,beta kitap,Ann Druyan,""35,64"",112,https://asset.kitapsepeti.com/national-geographic-kozmos-yildizlara-uzanan-merdiven-580860-38-O.jpg,9786254361890";
"64bd2cfe59faae5ec995c30e,Matematik Okuryazarlığı El Kitabı,ekin basım yayın,Murat Altun,""130,50"",216,https://asset.kitapsepeti.com/matematik-okuryazarligi-el-kitabi-387119-554068-38-O.jpg,9786258235050";
"64bd2d0159faae5ec995c30f,Betonarme Cilt 2 Özel Konular,evrim yayınevi,Uğur Ersoy,""125,00"",328,https://asset.kitapsepeti.com/betonarme-cilt-2-ozel-konular-544332-37-O.jpg,9789755032405";
